Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,growth
Monaco,MCO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Moldova,MDA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12664.31333,13598.26124,0.073746431
Madagascar,MDG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1652.399771,1719.906013,0.040853456
Maldives,MDV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19253.68849,20395.49424,0.059303221
Middle East & North Africa,MEA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16887.7097,17036.65298,0.008819626
Mexico,MEX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20257.82513,20447.88507,0.009382051
Marshall Islands,MHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3983.327675,,
Middle income,MIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11583.75668,12097.88766,0.044383786
North Macedonia,MKD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16671.67332,17583.43716,0.054689402
Mali,MLI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2339.341417,2424.330872,0.036330505
Malta,MLT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,44141.30553,46071.33315,0.043723845
Myanmar,MMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5151.691817,5369.707495,0.042319239
Middle East & North Africa (excluding high income),MNA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11054.39386,11123.53261,0.006254413
Montenegro,MNE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21547.25877,23343.98824,0.083385524
Mongolia,MNG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12205.84304,12861.83656,0.053744221
Northern Mariana Islands,MNP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Mozambique,MOZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1321.156045,1338.096666,0.012822574
Mauritania,MRT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5165.256707,5427.058242,0.050685097
Mauritius,MUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22749.12878,23882.35427,0.049814017
Malawi,MWI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1067.92233,1106.618935,0.036235411
Malaysia,MYS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,28228.95945,29619.68727,0.049265997
North America,NAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,61683.6686,63781.77428,0.034013957
Namibia,NAM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10173.91596,10063.64996,-0.010838108
New Caledonia,NCL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Niger,NER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1230.221762,1278.698158,0.0394046
Nigeria,NGA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5280.65226,5362.758417,0.015548488
Nicaragua,NIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5833.652948,5646.399468,-0.032098838
Netherlands,NLD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,57901.09701,59469.08369,0.027080431
Norway,NOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,69258.55014,67978.72253,-0.018478984
Nepal,NPL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3331.980217,3567.992939,0.07083257
